#Dpm,Board,Elink,Connector,Cable,Plane,Orientation,QuadBar,Side,Rotated
0,0,0,J1,011,0,V,0,U,
0,0,0,J2,012,0,V,0,D,
0,0,0,J3,013,0,V,1,U,
0,0,0,J4,014,0,V,1,D,
0,0,0,J5,021,1,H,0,L,Yes
0,0,0,J6,022,1,H,0,R,Yes
0,0,0,J7,023,1,H,1,L,Yes
0,0,0,J8,024,1,H,1,R,Yes
0,0,1,J9,031,2,V,0,U,
0,0,1,J10,032,2,V,0,D,
0,0,1,J11,033,2,V,1,U,
0,0,1,J12,034,2,V,1,D,
0,0,1,J13,041,3,H,0,L,
0,0,1,J14,042,3,H,0,R,
0,0,1,J15,043,3,H,1,L,
0,0,1,J16,044,3,H,1,R,
0,1,0,J1,051,4,V,0,U,
0,1,0,J2,052,4,V,0,D,
0,1,0,J3,053,4,V,1,U,
0,1,0,J4,054,4,V,1,D,
0,1,0,J5,061,5,H,0,L,
0,1,0,J6,062,5,H,0,R,
0,1,0,J7,063,5,H,1,L,
0,1,0,J8,064,5,H,1,R,
0,1,1,J9,071,6,V,0,U,
0,1,1,J10,072,6,V,0,D,
0,1,1,J11,073,6,V,1,U,
0,1,1,J12,074,6,V,1,D,
0,1,1,J13,081,7,H,0,L,
0,1,1,J14,082,7,H,0,R,
0,1,1,J15,083,7,H,1,L,
0,1,1,J16,084,7,H,1,R,
0,2,0,J1,091,8,V,0,U,
0,2,0,J2,092,8,V,0,D,
0,2,0,J3,093,8,V,1,U,
0,2,0,J4,094,8,V,1,D,
0,2,0,J5,101,9,H,0,L,
0,2,0,J6,102,9,H,0,R,
0,2,0,J7,103,9,H,1,L,
0,2,0,J8,104,9,H,1,R,
0,2,1,J9,105,9,H,2,L,
0,2,1,J10,106,9,H,2,R,
0,2,1,J11,111,10,V,0,U,
0,2,1,J12,112,10,V,0,D,
0,2,1,J13,113,10,V,1,U,
0,2,1,J14,114,10,V,1,D,
0,2,1,J15,115,10,V,2,U,
0,2,1,J16,116,10,V,2,D,
1,0,0,J1,121,11,H,0,L,
1,0,0,J2,122,11,H,0,R,
1,0,0,J3,123,11,H,1,L,
1,0,0,J4,124,11,H,1,R,
1,0,0,J5,125,11,H,2,L,
1,0,0,J6,126,11,H,2,R,
1,0,0,J7,131,12,V,0,U,
1,0,0,J8,132,12,V,0,D,
1,0,1,J9,133,12,V,1,U,
1,0,1,J10,134,12,V,1,D,
1,0,1,J11,135,12,V,2,U,
1,0,1,J12,136,12,V,2,D,
1,0,1,J13,141,13,H,0,L,
1,0,1,J14,142,13,H,0,R,
1,0,1,J15,143,13,H,1,L,
1,0,1,J16,144,13,H,1,R,
1,1,0,J1,145,13,H,2,L,
1,1,0,J2,146,13,H,2,R,
1,1,0,J3,151,14,V,0,U,
1,1,0,J4,152,14,V,0,D,
1,1,0,J5,153,14,V,1,U,
1,1,0,J6,154,14,V,1,D,
1,1,0,J7,155,14,V,2,U,
1,1,0,J8,156,14,V,2,D,
1,1,1,J9,161,15,H,0,L,
1,1,1,J10,162,15,H,0,R,
1,1,1,J11,163,15,H,1,L,
1,1,1,J12,164,15,H,1,R,
1,1,1,J13,165,15,H,2,L,
1,1,1,J14,166,15,H,2,R,
1,1,1,J15,171,16,V,0,U,
1,1,1,J16,172,16,V,0,D,
1,2,0,J1,173,16,V,1,U,
1,2,0,J2,174,16,V,1,D,
1,2,0,J3,175,16,V,2,U,
1,2,0,J4,176,16,V,2,D,
1,2,0,J5,181,17,H,0,L,
1,2,0,J6,182,17,H,0,R,
1,2,0,J7,183,17,H,1,L,
1,2,0,J8,184,17,H,1,R,
1,2,1,J9,185,17,H,2,L,
1,2,1,J10,186,17,H,2,R,
1,2,1,J11,191,18,V,0,U,
1,2,1,J12,192,18,V,0,D,
1,2,1,J13,193,18,V,1,U,
1,2,1,J14,194,18,V,1,D,
1,2,1,J15,195,18,V,2,U,
1,2,1,J16,196,18,V,2,D,
