# ElLoc Format: (polarfire:hrocindex:channel)
DetID,ElLoc,ADC_PEDESTAL,ADC_GAIN,TOT_PEDESTAL,TOT_GAIN
1275068416,0:0:0,1.0,1.2,1.0,2.5
1275068417,0:0:1,1.0,1.2,1.0,2.5
1275068418,0:0:2,1.0,1.2,1.0,2.5
1275068419,0:0:3,1.0,1.2,1.0,2.5
1275068420,0:0:4,1.0,1.2,1.0,2.5
1275068421,0:0:5,1.0,1.2,1.0,2.5
1275068422,0:0:6,1.0,1.2,1.0,2.5
1275068423,0:0:7,1.0,1.2,1.0,2.5
1275068424,0:0:8,1.0,1.2,1.0,2.5
1275068425,0:0:9,1.0,1.2,1.0,2.5
1275068426,0:0:10,1.0,1.2,1.0,2.5
1275068427,0:0:11,1.0,1.2,1.0,2.5
1275068428,0:0:12,1.0,1.2,1.0,2.5
1275068429,0:0:13,1.0,1.2,1.0,2.5
1275068430,0:0:14,1.0,1.2,1.0,2.5
1275068431,0:0:15,1.0,1.2,1.0,2.5
1275068432,0:0:16,1.0,1.2,1.0,2.5
1275068433,0:0:17,1.0,1.2,1.0,2.5
1275068434,0:0:18,1.0,1.2,1.0,2.5
1275068435,0:0:19,1.0,1.2,1.0,2.5
1275068436,0:0:20,1.0,1.2,1.0,2.5
1275068437,0:0:21,1.0,1.2,1.0,2.5
1275068438,0:0:22,1.0,1.2,1.0,2.5
1275068439,0:0:23,1.0,1.2,1.0,2.5
1275068440,0:0:24,1.0,1.2,1.0,2.5
1275068441,0:0:25,1.0,1.2,1.0,2.5
1275068442,0:0:26,1.0,1.2,1.0,2.5
1275068443,0:0:27,1.0,1.2,1.0,2.5
1275068444,0:0:28,1.0,1.2,1.0,2.5
1275068445,0:0:29,1.0,1.2,1.0,2.5
1275068446,0:0:30,1.0,1.2,1.0,2.5
1275068447,0:0:31,1.0,1.2,1.0,2.5
1275068448,0:0:32,1.0,1.2,1.0,2.5
1275068449,0:0:33,1.0,1.2,1.0,2.5
1275068450,0:0:34,1.0,1.2,1.0,2.5
1275068451,0:0:35,1.0,1.2,1.0,2.5
1275068454,0:0:36,1.0,1.2,1.0,2.5
1275068455,0:0:37,1.0,1.2,1.0,2.5
1275068456,0:0:38,1.0,1.2,1.0,2.5
1275068457,0:0:39,1.0,1.2,1.0,2.5
1275068458,0:0:40,1.0,1.2,1.0,2.5
1275068459,0:0:41,1.0,1.2,1.0,2.5
1275068460,0:0:42,1.0,1.2,1.0,2.5
1275068461,0:0:43,1.0,1.2,1.0,2.5
1275068462,0:0:44,1.0,1.2,1.0,2.5
1275068463,0:0:45,1.0,1.2,1.0,2.5
1275068464,0:0:46,1.0,1.2,1.0,2.5
1275068465,0:0:47,1.0,1.2,1.0,2.5
1275068466,0:0:48,1.0,1.2,1.0,2.5
1275068467,0:0:49,1.0,1.2,1.0,2.5
1275068468,0:0:50,1.0,1.2,1.0,2.5
1275068469,0:0:51,1.0,1.2,1.0,2.5
1275068470,0:0:52,1.0,1.2,1.0,2.5
1275068471,0:0:53,1.0,1.2,1.0,2.5
1275068472,0:0:54,1.0,1.2,1.0,2.5
1275068473,0:0:55,1.0,1.2,1.0,2.5
1275068474,0:0:56,1.0,1.2,1.0,2.5
1275068475,0:0:57,1.0,1.2,1.0,2.5
1275068476,0:0:58,1.0,1.2,1.0,2.5
1275068477,0:0:59,1.0,1.2,1.0,2.5
1275068478,0:0:60,1.0,1.2,1.0,2.5
1275068479,0:0:61,1.0,1.2,1.0,2.5
1275068480,0:0:62,1.0,1.2,1.0,2.5
1275068481,0:0:63,1.0,1.2,1.0,2.5
1275068482,0:0:64,1.0,1.2,1.0,2.5
1275068483,0:0:65,1.0,1.2,1.0,2.5
1275068484,0:0:66,1.0,1.2,1.0,2.5
1275068485,0:0:67,1.0,1.2,1.0,2.5
1275068486,0:0:68,1.0,1.2,1.0,2.5
1275068487,0:0:69,1.0,1.2,1.0,2.5
1275068488,0:0:70,1.0,1.2,1.0,2.5
1275068489,0:0:71,1.0,1.2,1.0,2.5
1275068492,0:1:0,1.0,1.2,1.0,2.5
1275068493,0:1:1,1.0,1.2,1.0,2.5
1275068494,0:1:2,1.0,1.2,1.0,2.5
1275068495,0:1:3,1.0,1.2,1.0,2.5
1275068496,0:1:4,1.0,1.2,1.0,2.5
1275068497,0:1:5,1.0,1.2,1.0,2.5
1275068498,0:1:6,1.0,1.2,1.0,2.5
1275068499,0:1:7,1.0,1.2,1.0,2.5
1275068500,0:1:8,1.0,1.2,1.0,2.5
1275068501,0:1:9,1.0,1.2,1.0,2.5
1275068502,0:1:10,1.0,1.2,1.0,2.5
1275068503,0:1:11,1.0,1.2,1.0,2.5
1275068504,0:1:12,1.0,1.2,1.0,2.5
1275068505,0:1:13,1.0,1.2,1.0,2.5
1275068506,0:1:14,1.0,1.2,1.0,2.5
1275068507,0:1:15,1.0,1.2,1.0,2.5
1275068508,0:1:16,1.0,1.2,1.0,2.5
1275068509,0:1:17,1.0,1.2,1.0,2.5
1275068510,0:1:18,1.0,1.2,1.0,2.5
1275068511,0:1:19,1.0,1.2,1.0,2.5
1275068512,0:1:20,1.0,1.2,1.0,2.5
1275068513,0:1:21,1.0,1.2,1.0,2.5
1275068514,0:1:22,1.0,1.2,1.0,2.5
1275068515,0:1:23,1.0,1.2,1.0,2.5
1275068516,0:1:24,1.0,1.2,1.0,2.5
1275068517,0:1:25,1.0,1.2,1.0,2.5
1275068518,0:1:26,1.0,1.2,1.0,2.5
1275068519,0:1:27,1.0,1.2,1.0,2.5
1275068520,0:1:28,1.0,1.2,1.0,2.5
1275068521,0:1:29,1.0,1.2,1.0,2.5
1275068522,0:1:30,1.0,1.2,1.0,2.5
1275068523,0:1:31,1.0,1.2,1.0,2.5
1275068524,0:1:32,1.0,1.2,1.0,2.5
1275068525,0:1:33,1.0,1.2,1.0,2.5
1275068526,0:1:34,1.0,1.2,1.0,2.5
1275068527,0:1:35,1.0,1.2,1.0,2.5
1275068530,0:1:36,1.0,1.2,1.0,2.5
1275068531,0:1:37,1.0,1.2,1.0,2.5
1275068532,0:1:38,1.0,1.2,1.0,2.5
1275068533,0:1:39,1.0,1.2,1.0,2.5
1275068534,0:1:40,1.0,1.2,1.0,2.5
1275068535,0:1:41,1.0,1.2,1.0,2.5
1275068536,0:1:42,1.0,1.2,1.0,2.5
1275068537,0:1:43,1.0,1.2,1.0,2.5
1275068538,0:1:44,1.0,1.2,1.0,2.5
1275068539,0:1:45,1.0,1.2,1.0,2.5
1275068540,0:1:46,1.0,1.2,1.0,2.5
1275068541,0:1:47,1.0,1.2,1.0,2.5
1275068542,0:1:48,1.0,1.2,1.0,2.5
1275068543,0:1:49,1.0,1.2,1.0,2.5
1275068544,0:1:50,1.0,1.2,1.0,2.5
1275068545,0:1:51,1.0,1.2,1.0,2.5
1275068546,0:1:52,1.0,1.2,1.0,2.5
1275068547,0:1:53,1.0,1.2,1.0,2.5
1275068548,0:1:54,1.0,1.2,1.0,2.5
1275068549,0:1:55,1.0,1.2,1.0,2.5
1275068550,0:1:56,1.0,1.2,1.0,2.5
1275068551,0:1:57,1.0,1.2,1.0,2.5
1275068552,0:1:58,1.0,1.2,1.0,2.5
1275068553,0:1:59,1.0,1.2,1.0,2.5
1275068554,0:1:60,1.0,1.2,1.0,2.5
1275068555,0:1:61,1.0,1.2,1.0,2.5
1275068556,0:1:62,1.0,1.2,1.0,2.5
1275068557,0:1:63,1.0,1.2,1.0,2.5
1275068558,0:1:64,1.0,1.2,1.0,2.5
1275068559,0:1:65,1.0,1.2,1.0,2.5
1275068560,0:1:66,1.0,1.2,1.0,2.5
1275068561,0:1:67,1.0,1.2,1.0,2.5
1275068562,0:1:68,1.0,1.2,1.0,2.5
1275068563,0:1:69,1.0,1.2,1.0,2.5
